,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
4640,220507795,7,1950,Harbor,90732,BRANDISH WEAPON,CLUB/BAT
4641,221808893,6,0800,Southeast,90061,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4642,222107862,6,1630,Topanga,91364,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4643,220907756,8,1815,Van Nuys,91401,OTHER ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4644,221209639,8,1900,77th Street,90037,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4645,221408992,9,0757,Pacific,90045,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4646,220907759,7,1845,Van Nuys,91411,BURGLARY,
4647,220308854,8,0100,Southwest,90062,BURGLARY,
4648,220907770,8,2010,Van Nuys,91423,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4649,221409021,9,1350,Pacific,90045,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4650,222107829,9,1236,Topanga,91367,THEFT OF IDENTITY,
4651,220807983,8,1400,West LA,90067,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4652,220400678,9,0430,Hollenbeck,90033,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4653,220308856,9,1938,Southwest,90007,VEHICLE - STOLEN,
4654,222107825,8,1100,Topanga,91303,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4655,221309327,8,1125,Newton,90021,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4656,220308907,9,0530,Southwest,90043,INTIMATE PARTNER - AGGRAVATED ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
4657,220907760,8,1730,Van Nuys,91401,BURGLARY FROM VEHICLE,
4658,220707802,9,0700,Wilshire,90036,BURGLARY FROM VEHICLE,
4659,221808948,9,1705,Southeast,90061,ROBBERY,UNKNOWN TYPE CUTTING INSTRUMENT
4660,221007778,8,1845,West Valley,91406,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4661,220707803,8,1225,Wilshire,90036,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4662,220208560,9,1030,Rampart,90057,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4663,220507786,9,1540,Harbor,90248,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",ROCK/THROWN OBJECT
4664,220608563,9,0325,Hollywood,90028,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4665,220407386,9,0430,Hollenbeck,90033,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
4666,220507774,9,1700,Harbor,90731,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4667,220907780,7,2044,Van Nuys,91405,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4668,221808920,2,1000,Southeast,90044,VEHICLE - STOLEN,
4669,220608590,2,1240,Hollywood,90029,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4670,220109995,9,2200,Central,90014,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",MACHETE
4671,221209627,9,1230,77th Street,90047,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4672,222008251,5,1530,Olympic,90004,CHILD ANNOYING (17YRS & UNDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4673,220208543,9,2100,Rampart,90004,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE OVER 6 INCHES IN LENGTH
4674,221409001,8,1100,Pacific,90034,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4675,221007756,9,1000,West Valley,91335,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
4676,221808963,9,2315,Southeast,90003,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4677,220208576,9,1455,Rampart,90029,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4678,221908031,8,0600,Mission,91402,BURGLARY,
4679,221908041,8,2300,Mission,91402,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4680,220807990,7,0230,West LA,90272,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4681,221508052,9,2215,N Hollywood,91606,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
4682,220707805,9,1035,Wilshire,90019,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4683,220208559,9,1240,Rampart,90057,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4684,221107660,8,0500,Northeast,90039,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4685,221408995,8,0059,Pacific,90291,CRIMINAL HOMICIDE,HAND GUN
4686,221309324,8,2251,Newton,90021,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4687,221107877,9,2230,Northeast,90027,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4688,221309351,9,1030,Newton,90003,ATTEMPTED ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4689,220407373,9,0200,Hollenbeck,90023,BURGLARY,
4690,220808048,6,1030,West LA,90049,THEFT PLAIN - PETTY ($950 & UNDER),
4691,220208575,9,1345,Rampart,90004,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4692,222107848,9,1645,Topanga,91303,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4693,220110029,9,2230,Central,90017,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4694,222008239,9,0145,Olympic,90020,VANDALISM - MISDEAMEANOR ($399 OR UNDER),UNKNOWN WEAPON/OTHER WEAPON
4695,220208514,8,2300,Rampart,90015,VEHICLE - STOLEN,
4696,220407397,9,2150,Hollenbeck,90063,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4697,221209628,9,1020,77th Street,90003,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4698,221508025,9,0225,N Hollywood,91605,VEHICLE - STOLEN,
4699,220507800,6,1530,Harbor,90744,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4700,220400681,9,0900,Hollenbeck,90032,BRANDISH WEAPON,SHOTGUN
4701,220808028,9,1350,West LA,90025,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STICK
4702,222107844,9,0930,Topanga,91367,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4703,221007750,8,2200,West Valley,91436,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4704,220110002,9,1805,Central,90014,THEFT FROM PERSON - ATTEMPT,
4705,221808983,9,1430,Southeast,90003,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4706,220608551,9,0005,Hollywood,90068,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4707,221209632,8,1100,77th Street,90044,BURGLARY,
4708,220507767,8,0115,Harbor,90731,THEFT OF IDENTITY,
4709,220507744,1,0001,Harbor,90731,VEHICLE - STOLEN,
4710,220109966,9,0730,Central,90021,VEHICLE - STOLEN,
4711,220808026,8,1130,West LA,90035,BURGLARY,
4712,220109963,7,2200,Central,90012,VEHICLE - STOLEN,
4713,220109981,9,0005,Central,90013,VEHICLE - STOLEN,
4714,221508026,8,1700,N Hollywood,91602,VEHICLE - STOLEN,
4715,220808350,9,1753,West LA,90024,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4716,222107836,7,1100,Topanga,91303,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4717,220308825,9,0230,Southwest,90062,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",FOLDING KNIFE
4718,220308821,8,2300,Southwest,90018,VIOLATION OF COURT ORDER,
4719,220407390,9,1600,Hollenbeck,90033,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4720,221808960,9,1850,Southeast,90003,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4721,222008266,9,0200,Olympic,90004,BURGLARY FROM VEHICLE,
4722,220707772,9,1200,Wilshire,90035,BRANDISH WEAPON,KNIFE WITH BLADE 6INCHES OR LESS
4723,220308871,9,0900,Southwest,90007,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
4724,221000637,9,1810,West Valley,91356,ROBBERY,HAND GUN
4725,220110001,9,1545,Central,90015,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4726,220109988,9,0830,Central,90013,BATTERY - SIMPLE ASSAULT,STICK
4727,221808874,8,2000,Southeast,90003,VEHICLE - STOLEN,
4728,220608579,9,0910,Hollywood,90028,TRESPASSING,
4729,221707634,9,1940,Devonshire,91311,TRESPASSING,
4730,221908058,9,2230,Mission,91402,VIOLATION OF RESTRAINING ORDER,
4731,221210143,3,1237,77th Street,90044,THEFT OF IDENTITY,
4732,220109967,8,1254,Central,90017,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4733,222008258,9,0200,Olympic,90004,VIOLATION OF COURT ORDER,
4734,221707564,8,2330,Devonshire,91344,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4735,221409014,9,1313,Pacific,90291,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4736,222008237,9,0420,Olympic,90004,ROBBERY,HAND GUN
4737,222107849,9,1930,Topanga,91306,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4738,221808938,9,2045,Southeast,90003,DISCHARGE FIREARMS/SHOTS FIRED,UNKNOWN FIREARM
4739,220308853,8,2000,Southwest,90016,BURGLARY,
4740,221007739,9,0800,West Valley,91356,VEHICLE - STOLEN,
4741,221309361,9,2000,Newton,90037,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4742,222107859,9,0700,Topanga,91304,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4743,220109983,9,1230,Central,90012,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4744,220808064,9,0315,West LA,90064,BURGLARY,
4745,222008241,4,0835,Olympic,90006,BATTERY WITH SEXUAL CONTACT,UNKNOWN WEAPON/OTHER WEAPON
4746,221607159,9,2100,Foothill,91605,VIOLATION OF RESTRAINING ORDER,
4747,220308863,8,1500,Southwest,90007,THEFT PLAIN - PETTY ($950 & UNDER),
4748,220407371,9,0155,Hollenbeck,90023,VEHICLE - STOLEN,
4749,220109989,9,1547,Central,90071,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4750,221808889,9,0520,Southeast,90044,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4751,221408997,8,2300,Pacific,90034,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4752,220507780,9,1300,Harbor,90744,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4753,220507782,9,0300,Harbor,90744,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4754,220308882,9,0530,Southwest,90018,TRESPASSING,
4755,222008262,8,1215,Olympic,90007,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4756,221007744,9,0907,West Valley,91335,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4757,221908035,9,2120,Mission,91342,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4758,221107657,9,0915,Northeast,90029,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
4759,221007758,8,2200,West Valley,91335,VEHICLE - STOLEN,
4760,221007762,9,1330,West Valley,91335,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4761,221808913,9,1515,Southeast,90059,ROBBERY,HAND GUN
4762,221600609,9,0430,Foothill,91352,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",OTHER KNIFE
4763,220109968,9,0150,Central,90015,VEHICLE - STOLEN,
4764,221808933,9,0800,Southeast,90003,THEFT OF IDENTITY,
4765,221808885,9,0001,Southeast,90002,ROBBERY,UNKNOWN FIREARM
4766,220608546,9,0025,Hollywood,90038,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4767,220608582,7,1415,Hollywood,90038,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4768,221007757,8,1800,West Valley,91356,BURGLARY FROM VEHICLE,
4769,220608591,8,2200,Hollywood,90028,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",UNKNOWN WEAPON/OTHER WEAPON
4770,220507787,9,1310,Harbor,90744,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4771,221100654,8,1220,Northeast,90065,BURGLARY,
4772,221209692,9,1720,77th Street,90047,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4773,221908045,9,1030,Mission,91402,VIOLATION OF RESTRAINING ORDER,
4774,220907776,9,0200,Van Nuys,91423,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4775,220208551,9,1530,Rampart,90026,INTIMATE PARTNER - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
4776,220308908,9,0530,Southwest,90043,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4777,221210144,7,0630,77th Street,90043,BURGLARY FROM VEHICLE,
4778,222008261,6,2000,Olympic,90020,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4779,220308884,9,2200,Southwest,90016,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4780,221107659,8,1210,Northeast,90065,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4781,221107670,6,2200,Northeast,90029,VEHICLE - STOLEN,
4782,222107847,9,1740,Topanga,91306,VIOLATION OF RESTRAINING ORDER,
4783,220308857,9,1530,Southwest,90062,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4784,220800651,8,1930,West LA,90024,BURGLARY,
4785,220407380,9,1700,Hollenbeck,90023,VIOLATION OF COURT ORDER,
4786,221309331,8,2230,Newton,90007,VIOLATION OF RESTRAINING ORDER,
4787,221209669,9,1800,77th Street,90037,TRESPASSING,
4788,221707556,9,0350,Devonshire,91326,BURGLARY,
4789,221210140,9,0900,77th Street,90047,BURGLARY FROM VEHICLE,
4790,221409004,8,1900,Pacific,90066,BURGLARY,
4791,220308850,9,1430,Southwest,90016,ROBBERY,SEMI-AUTOMATIC PISTOL
4792,222107853,9,1845,Topanga,91367,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4793,220308922,9,2015,Southwest,90037,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4794,220507793,5,0700,Harbor,90731,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4795,221309358,9,1720,Newton,90058,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
4796,221107664,8,0845,Northeast,90027,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4797,221107680,8,2300,Northeast,90027,TRESPASSING,
4798,220109998,9,1615,Central,90015,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
4799,220900678,8,2340,Van Nuys,91406,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BELT FLAILING INSTRUMENT/CHAIN
4800,220309016,9,1415,Southwest,90089,THEFT OF IDENTITY,
4801,221107653,8,2200,Northeast,90065,VEHICLE - STOLEN,
4802,221209647,9,1950,77th Street,90047,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",UNKNOWN WEAPON/OTHER WEAPON
4803,221808911,9,0305,Southeast,90002,THEFT OF IDENTITY,
4804,221808951,9,1945,Southeast,90248,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",OTHER KNIFE
4805,221707508,8,2230,Devonshire,91344,VEHICLE - STOLEN,
4806,220507783,9,1030,Harbor,90731,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4807,220208577,9,1520,Rampart,90029,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4808,220808045,9,1530,West LA,90064,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4809,221107683,4,1735,Northeast,90012,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4810,220608587,9,0900,Hollywood,90028,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4811,221408983,7,2000,Pacific,90045,VEHICLE - STOLEN,
4812,220808046,9,0940,West LA,90035,THEFT PLAIN - PETTY ($950 & UNDER),
4813,222107845,9,1540,Topanga,91303,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4814,220907778,9,1510,Van Nuys,91401,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
4815,221007777,9,2300,West Valley,91316,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4816,222107838,9,1230,Topanga,91304,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4817,221808914,9,0800,Southeast,90003,THEFT OF IDENTITY,
4818,220608611,9,2215,Hollywood,90028,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4819,220109929,8,1100,Central,90015,VEHICLE - STOLEN,
4820,221309319,8,1700,Newton,90037,VEHICLE - STOLEN,
4821,220208550,9,0040,Rampart,90026,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4822,221409006,9,0515,Pacific,90293,BURGLARY,
4823,222107810,8,2030,Topanga,91367,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4824,220407379,9,1330,Hollenbeck,90033,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4825,220807998,9,0250,West LA,90064,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4826,221707628,8,2330,Devonshire,91326,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4827,222107863,6,1547,Topanga,91364,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4828,221707554,7,0345,Devonshire,91326,BURGLARY,
4829,220407378,8,1400,Hollenbeck,90031,VEHICLE - STOLEN,
4830,221808879,9,0420,Southeast,90044,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4831,220507772,8,1730,Harbor,90710,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4832,222107864,9,1415,Topanga,91303,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
4833,221309366,9,1600,Newton,90011,BURGLARY,
4834,222107856,9,2045,Topanga,91303,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4835,221309325,8,1902,Newton,90037,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4836,222107837,8,2350,Topanga,91364,BURGLARY,
4837,220109984,9,1325,Central,90013,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PIPE/METAL PIPE
4838,220400680,9,1100,Hollenbeck,90031,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
4839,221508071,8,1700,N Hollywood,91604,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4840,220208523,6,2030,Rampart,90004,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
4841,220808352,9,1700,West LA,90272,BURGLARY FROM VEHICLE,
4842,220109985,8,2230,Central,90013,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4843,220109964,9,1245,Central,90013,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,BOTTLE
4844,220208517,8,1900,Rampart,90026,VEHICLE - STOLEN,
4845,220109953,9,0629,Central,90017,BURGLARY,BLUNT INSTRUMENT
4846,220308851,9,1500,Southwest,90016,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
4847,221508062,8,2000,N Hollywood,91601,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4848,220507768,7,1035,Harbor,90731,BURGLARY FROM VEHICLE,
4849,221409002,5,1315,Pacific,90094,THEFT PLAIN - PETTY ($950 & UNDER),
4850,220208516,8,2035,Rampart,90017,BRANDISH WEAPON,OTHER FIREARM
4851,222008247,8,0630,Olympic,90020,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4852,220208545,9,1230,Rampart,90029,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4853,221508073,8,2030,N Hollywood,91602,BURGLARY FROM VEHICLE,
4854,220808006,8,2245,West LA,90035,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4855,220707812,9,2112,Wilshire,90019,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4856,220707762,8,2310,Wilshire,90019,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4857,221409022,2,0001,Pacific,90045,THEFT OF IDENTITY,
4858,220308872,9,2100,Southwest,90016,VIOLATION OF RESTRAINING ORDER,
4859,221007771,9,2200,West Valley,91316,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",AIR PISTOL/REVOLVER/RIFLE/BB GUN
4860,221007772,9,2200,West Valley,91316,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",AIR PISTOL/REVOLVER/RIFLE/BB GUN
4861,221607137,8,2140,Foothill,91331,VEHICLE - STOLEN,
4862,220109935,9,0245,Central,90013,VEHICLE - STOLEN,
4863,222008269,8,1800,Olympic,90006,VEHICLE - STOLEN,
4864,221508036,9,1530,N Hollywood,91607,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4865,220208524,9,1145,Rampart,90057,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4866,220308873,3,2300,Southwest,90007,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4867,220507784,8,2100,Harbor,90710,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4868,222107826,9,0300,Topanga,91364,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4869,220109957,9,0200,Central,90017,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4870,220808041,8,2330,West LA,90049,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4871,220907766,8,0630,Van Nuys,91405,BURGLARY FROM VEHICLE,
4872,222107834,9,0230,Topanga,91307,VIOLATION OF RESTRAINING ORDER,
4873,220308862,9,1135,Southwest,90018,THEFT PLAIN - PETTY ($950 & UNDER),
4874,221309367,8,2130,Newton,90011,BURGLARY FROM VEHICLE,
4875,220707766,9,0020,Wilshire,90019,PICKPOCKET,
4876,221309328,8,1630,Newton,90011,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4877,220907764,1,1505,Van Nuys,91423,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
4878,221408985,9,0425,Pacific,90292,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4879,221209630,9,1200,77th Street,90043,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
4880,220907774,2,0001,Van Nuys,91405,THEFT OF IDENTITY,
4881,220407394,9,2220,Hollenbeck,90033,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
4882,221808925,9,0600,Southeast,90061,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4883,221500711,8,2230,N Hollywood,91601,BURGLARY,
4884,221007773,8,1600,West Valley,91356,BURGLARY,
4885,220507792,9,2100,Harbor,90501,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
4886,221007767,9,2200,West Valley,91316,BATTERY - SIMPLE ASSAULT,AIR PISTOL/REVOLVER/RIFLE/BB GUN
4887,220808069,9,1830,West LA,90024,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
4888,221908038,9,0400,Mission,91343,SHOTS FIRED AT INHABITED DWELLING,OTHER FIREARM
4889,220109986,9,1215,Central,90014,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",OTHER KNIFE
4890,221500707,8,1915,N Hollywood,91606,BURGLARY,
4891,220208564,9,1740,Rampart,90057,VIOLATION OF COURT ORDER,
4892,221107671,4,1915,Northeast,90042,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
4893,221209646,9,1850,77th Street,90003,VIOLATION OF COURT ORDER,VERBAL THREAT
4894,221707652,4,0800,Devonshire,91326,DOCUMENT FORGERY / STOLEN FELONY,
4895,221300669,9,2150,Newton,90011,DISCHARGE FIREARMS/SHOTS FIRED,HAND GUN
4896,222107865,8,2124,Topanga,91364,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
